"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"RcppArmadillo","RcppArmadillo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.12.0.1.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppEigen","RcppEigen","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3.9.3",NA,"R (>= 3.6.0)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RcppRoll","RcppRoll","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppTOML","RcppTOML","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.2",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RCurl","RCurl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.98-1.10",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"readr","readr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.4",NA,"R (>= 3.5)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.2",NA,"R (>= 3.5)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"recipes","recipes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.5",NA,"dplyr (>= 1.1.0), R (>= 3.4)","cli, clock (>= 0.6.1), ellipsis, generics (>= 0.1.2), glue,
gower, hardhat (>= 1.2.0), ipred (>= 0.9-12), lifecycle (>=
1.0.3), lubridate (>= 1.8.0), magrittr, Matrix, purrr (>=
0.2.3), rlang (>= 1.0.3), stats, tibble, tidyr (>= 1.0.0),
tidyselect (>= 1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.0.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 0.1.7), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rematch2","rematch2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"remotes","remotes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.2",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"renv","renv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.17.2",NA,NA,"utils",NA,"BiocManager, cli, covr, devtools, jsonlite, knitr, miniUI,
packrat, pak, R6, remotes, reticulate, rmarkdown, rstudioapi,
shiny, testthat, uuid, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.2",NA,"R (>= 3.4)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8.9",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"reticulate","reticulate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.28",NA,"R (>= 3.0)","Matrix, Rcpp (>= 0.12.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, withr","Rcpp","callr, knitr, rlang, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.0"
"rex","rex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,NA,"lazyeval",NA,"covr, dplyr, ggplot2, Hmisc, knitr, magrittr, rmarkdown,
roxygen2, rvest, stringr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rhandsontable","rhandsontable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.8",NA,NA,"jsonlite, htmlwidgets (>= 0.3.3), magrittr, methods, utils",NA,"knitr, rmarkdown, shiny (>= 0.13), miniUI (>= 0.1.1),
rstudioapi (>= 0.6), htmltools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"riingo","riingo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.1",NA,"R (>= 2.10)","crayon (>= 1.3.4), glue (>= 1.3.1), httr (>= 1.3.1), jsonlite
(>= 1.5), purrr (>= 0.2.4), rlang (>= 0.2.0), tibble (>=
1.4.2), vctrs (>= 0.3.0)",NA,"covr, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rio","rio","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.29",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"rJava","rJava","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-6",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.2.0"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.20",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.5.1),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.36), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rmdformats","rmdformats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.4",NA,NA,"knitr, rmarkdown, bookdown, htmltools",NA,"questionr, DT, palmerpenguins, ggplot2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"rootSolve","rootSolve","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.2.3",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"roxygen2","roxygen2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.2.3",NA,"R (>= 3.3)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.1.19","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"rprojroot","rprojroot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rsample","rsample","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.4)","dplyr (>= 1.0.0), furrr, generics, glue, methods, pillar,
purrr, rlang (>= 0.4.10), slider (>= 0.1.5), tibble, tidyr,
tidyselect, vctrs (>= 0.5.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat (>= 3.0.0), utils, whisker, withr,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rsconnect","rsconnect","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8.29",NA,"R (>= 3.0.0)","curl, digest, jsonlite, openssl (>= 2.0.0), packrat (>= 0.6),
rstudioapi (>= 0.5), tools, yaml (>= 2.1.5)",NA,"MASS, RCurl, callr, httpuv, knitr, plumber (>= 0.3.2),
reticulate, rmarkdown (>= 1.1), shiny, sourcetools, testthat,
xtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"RSQLite","RSQLite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.0",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig","plogr (>= 0.2.0), cpp11","callr, DBItest (>= 1.7.2.9001), gert, gh, hms, knitr,
magrittr, rmarkdown, rvest, testthat (>= 3.0.0), withr, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.2.0"
"rstatix","rstatix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.2",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.14",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.3",NA,"R (>= 3.2)","glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr",NA,"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sass","sass","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.5",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"scales","scales","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"schoolmath","schoolmath","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.2.0"
"servr","servr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.26",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.4",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"slider","slider","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), rlang (>= 1.0.6), vctrs (>= 0.5.0), warp","vctrs (>= 0.5.0)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"snakecase","snakecase","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.11.0",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"snow","snow","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.2.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6-0",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-16","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"splines","splines","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.3","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"splus2R","splus2R","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-3",NA,"R (>= 2.7.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"SQUAREM","SQUAREM","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"statmod","statmod","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.0",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.3","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.3","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.2.3",NA,NA,NA,NA,NA,"4.2.3"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.12",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.2.0"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.0",NA,"R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"styler","styler","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.1",NA,"R (>= 3.5.0)","cli (>= 3.1.1), magrittr (>= 2.0.0), purrr (>= 0.2.3), R.cache
(>= 0.15.0), rlang (>= 0.1.1), rprojroot (>= 1.1), tools, vctrs
(>= 0.4.1), withr (>= 2.3.0),",NA,"data.tree (>= 0.1.6), digest, dplyr, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), tibble (>= 1.4.2),
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"survival","survival","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.5-3","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"svDialogs","svDialogs","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.0",NA,"R (>= 2.6.0)","svGUI (>= 1.0.0), utils, methods, rstudioapi (>= 0.7)",NA,"covr, rmarkdown, knitr, testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"svglite","svglite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat, xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"svGUI","svGUI","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 2.6.0)",NA,NA,"covr, knitr, markdown, testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"sys","sys","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.4.1",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"systemfonts","systemfonts","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.4",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.3","base",NA,"utils",NA,NA,NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"testthat","testthat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1.7",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 3.4.0), desc, digest, ellipsis
(>= 0.2.0), evaluate, jsonlite, lifecycle, magrittr, methods,
pkgload, praise, processx, ps (>= 1.3.4), R6 (>= 2.2.0), rlang
(>= 1.0.1), utils, waldo (>= 0.4.0), withr (>= 2.4.3)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"textshaping","textshaping","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.6",NA,"R (>= 3.2.0)","systemfonts (>= 1.0.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"TH.data","TH.data","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-1",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"dplyr, gdata, plyr, trtf, tram, rms, coin, ATR, multcomp,
gridExtra, vcd, colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"tibble","tibble","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tidyquant","tidyquant","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.6",NA,"R (>= 3.5.0), lubridate, PerformanceAnalytics, quantmod (>=
0.4-13)","dplyr (>= 1.0.0), ggplot2, jsonlite, httr, curl, lazyeval,
magrittr, purrr, Quandl, riingo, readr, readxl, alphavantager
(>= 0.1.2), stringr, tibble, tidyr (>= 1.0.0), timetk (>=
2.4.0), timeDate, TTR, xts, rlang, tidyselect",NA,"tidyverse, tibbletime, forcats, broom, knitr, rmarkdown,
testthat (>= 2.1.0), scales, Rblpapi, covr, janitor",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.0.4), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"timechange","timechange","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
